City,Latitude,Temperature,Humidity,Windiness,Cloudiness
kapaa,22.08,82.11,91,9.17,75
yellowknife,62.45,32.0,100,8.05,90
souillac,45.6,54.41,71,6.93,0
vaini,15.34,71.99,94,2.39,76
tuatapere,-46.13,47.87,100,4.41,56
hilo,19.71,80.94,61,8.05,20
havre-saint-pierre,50.23,42.8,60,6.93,90
bikaner,28.02,74.69,51,0.72,0
albany,42.65,61.38,55,4.7,75
barrow,-38.31,48.5,90,10.22,92
hun,50.34,49.26,81,4.7,0
busselton,-33.64,56.15,100,18.05,12
kavieng,-2.57,83.96,100,5.97,88
castro,-42.48,44.81,77,8.32,44
jamestown,-33.21,46.97,46,10.78,0
hammerfest,70.66,39.2,86,11.41,75
rikitea,-23.12,72.89,100,13.8,76
ushuaia,-54.81,35.6,80,23.04,75
divinopolis,-20.14,67.85,93,3.4,92
saskylakh,71.97,32.03,100,12.35,80
chokurdakh,70.62,32.57,96,11.23,92
mataura,-46.19,47.42,97,4.63,76
hithadhoo,-0.6,83.15,100,15.82,36
lavrentiya,65.58,45.98,91,14.81,32
tuktoyaktuk,69.44,30.2,86,5.82,90
cherskiy,68.75,40.67,82,3.85,92
lebu,8.96,50.93,72,5.19,0
fairbanks,64.84,48.54,10,4.07,1
san nicolas,14.94,75.86,84,2.62,88
alofi,-19.06,73.4,60,17.22,12
bluff,-23.58,63.71,77,12.91,68
bredasdorp,-34.53,59.0,87,9.17,32
punta arenas,-53.16,39.2,44,17.22,75
sangre grande,10.59,79.12,94,8.05,40
butaritari,3.07,84.41,100,10.45,64
new norfolk,-42.78,46.4,70,5.82,75
walvis bay,-22.95,53.6,93,2.24,0
kaitangata,-46.28,47.78,93,4.97,68
carnarvon,-30.97,69.11,36,13.24,92
hermanus,-34.42,49.13,80,2.17,20
carballo,43.21,58.95,77,6.93,40
upernavik,72.79,34.37,100,8.88,76
nikolskoye,59.7,50.0,81,8.95,40
ocos,14.51,83.57,88,4.7,90
moose factory,51.26,42.8,87,10.29,40
amapa,15.09,87.8,62,13.87,40
aleksandrovka,46.65,57.68,95,18.5,0
mehamn,71.03,42.8,81,13.87,75
iqaluit,63.75,30.2,68,25.28,90
huarmey,-10.07,74.33,48,3.74,8
provideniya,64.42,50.0,87,13.42,75
langsa,4.47,69.65,100,2.06,88
sao felix do xingu,-6.64,85.13,70,2.73,8
tasiilaq,65.61,32.0,100,23.04,92
kodiak,39.95,60.98,96,6.93,90
cape town,-33.93,59.0,87,9.17,0
hobart,-42.88,46.4,70,5.82,75
trinidad,-33.52,66.32,99,7.76,88
isangel,-19.55,77.0,88,5.82,90
darovskoy,58.77,35.45,96,13.8,92
zhigansk,66.77,24.65,93,2.39,0
parana,-7.52,82.4,74,3.36,40
ketchikan,55.34,60.46,6,6.93,1
atuona,-9.8,78.2,100,12.68,56
harper,30.3,82.02,59,8.99,75
hasaki,35.73,78.1,73,16.11,75
port lincoln,-34.72,58.49,77,14.25,80
manono,-7.3,85.4,31,11.68,48
kungurtug,50.6,20.33,73,2.39,0
port blair,11.67,84.05,100,1.72,20
fatehpur,31.18,70.46,59,2.73,0
donauworth,48.7,49.87,87,2.24,8
pisco,-13.71,71.6,30,19.46,0
ponta do sol,-20.63,65.42,100,3.18,88
san cristobal,-0.39,69.8,100,9.17,40
georgetown,6.8,84.2,70,13.87,20
saint-philippe,45.36,52.11,78,12.12,90
vila franca do campo,37.72,68.0,82,9.17,20
maputo,-25.97,61.1,84,3.4,0
vikhorevka,56.12,42.8,75,4.47,12
qaanaaq,77.48,12.68,100,5.75,0
salta,-24.79,91.71,27,11.41,20
uray,60.13,38.78,99,5.97,20
torbay,47.66,46.4,93,10.29,20
mardan,34.19,77.0,69,2.62,20
dikson,73.51,40.13,91,25.88,12
zhangjiakou,40.77,42.38,61,10.0,0
te anau,-45.41,43.55,100,2.51,76
zarautz,43.28,61.65,63,4.7,64
dalvik,57.79,42.8,93,9.17,68
yar-sale,66.83,36.44,100,11.12,0
beboto,8.27,77.3,77,5.97,32
richards bay,-28.77,66.5,70,14.92,0
khatanga,71.98,39.86,97,15.26,92
banff,51.18,27.71,68,2.17,88
geraldton,49.72,41.0,75,9.17,75
bambous virieux,-20.34,68.0,88,5.82,40
port alfred,-33.59,72.53,70,10.33,8
florence,34.8,85.93,54,4.7,20
pouembout,-21.12,66.77,94,4.97,92
beyneu,45.32,58.13,76,6.08,12
hofn,64.25,39.68,100,4.74,24
seymchan,62.93,28.07,94,11.23,88
avarua,-21.21,75.2,53,8.05,20
bud,62.91,44.02,87,8.05,75
abu zabad,12.35,75.41,66,6.98,0
sobolevo,54.43,43.37,73,13.35,8
shache,38.42,45.8,63,2.84,20
colac,-38.34,45.53,92,4.52,56
hoganas,56.2,50.04,93,4.7,76
lorengau,-2.02,82.97,100,10.67,0
igarka,67.47,37.43,96,8.55,0
sao jose da coroa grande,-8.9,75.41,83,9.33,44
morlaix,48.58,54.05,71,9.17,90
mar del plata,-46.43,44.63,49,12.12,68
norman wells,65.28,33.8,74,6.93,75
slave lake,55.28,37.4,47,4.7,90
buzmeyin,38.05,62.6,33,4.7,0
krasnyy chikoy,50.36,25.91,74,2.17,0
bubaque,11.28,77.0,88,3.36,20
darnah,32.77,76.13,100,13.58,20
alta floresta,-9.87,84.68,78,1.39,12
vila velha,-3.71,80.6,74,11.41,20
severo-kurilsk,50.68,50.21,94,10.45,80
tarauaca,-8.16,84.77,79,2.73,32
ayan,40.67,52.01,86,1.72,36
uppsala,59.86,46.89,93,8.05,0
vila,45.18,58.41,100,8.05,75
shingu,33.72,74.33,100,22.86,0
tornio,61.12,42.17,100,6.93,0
fortuna,38.18,68.9,77,3.36,0
matane,48.83,48.18,72,5.82,75
port hedland,-20.31,66.2,88,5.82,40
mitsamiouli,-11.38,71.6,88,5.82,20
puerto ayora,-0.74,77.0,69,17.22,75
mahebourg,-20.41,68.0,88,5.82,40
barra do garcas,-15.89,75.2,88,3.36,40
mana,43.52,43.65,100,1.12,0
narsaq,60.91,39.2,80,14.99,92
east london,-33.02,74.33,87,24.09,0
klaksvik,62.23,39.2,60,27.51,36
blagoyevo,63.37,35.45,87,6.42,68
uribia,11.71,90.08,71,11.79,64
nanning,22.83,68.0,94,2.24,0
ingham,-18.65,71.63,99,15.37,92
ribeira grande,38.52,71.72,100,22.08,64
zlobin,45.29,57.2,47,8.05,0
victoria,5.28,76.08,94,2.24,75
nelson bay,-32.72,55.4,93,5.82,36
lugovoy,59.72,41.66,99,7.76,56
soyo,-6.13,74.78,87,5.75,8
meulaboh,4.14,77.03,100,3.74,100
tabuk,17.41,66.68,97,1.05,24
saint anthony,43.97,65.75,35,11.41,1
sibolga,1.74,69.65,100,1.61,64
cayenne,4.94,82.4,78,6.93,0
yulara,-25.24,68.0,28,6.93,68
araripe,-7.21,88.28,29,7.09,88
pacific grove,36.62,75.52,36,2.95,1
raudeberg,61.99,41.77,93,9.17,88
clyde river,70.47,30.2,100,16.11,90
thompson,55.74,33.8,59,14.99,90
norfolk,36.85,74.88,62,8.05,20
tabou,4.42,77.57,100,8.66,92
petrolia,42.88,52.75,87,3.36,90
ancud,-41.87,42.65,88,8.99,48
los llanos de aridane,28.66,73.4,78,8.05,36
